timestamp,hour,day_of_week,is_weekend,is_peak_hour,terminal,num_flights,security_staff,checkin_staff,gates_available,weather,is_holiday_season,baggage_volume,international_ratio,passenger_flow,queue_length,waiting_time
2024-01-01 00:00:00,0,0,0,0,T1,12,14,14,17,Clear,1,1367,0.4216968971838151,2088,200,34
2024-01-01 01:00:00,1,0,0,0,T2,13,10,10,18,Clear,1,1578,0.6932923543227152,2208,200,80
2024-01-01 02:00:00,2,0,0,0,T2,9,12,14,12,Clear,1,1228,0.5439986631130483,1526,165,30
2024-01-01 03:00:00,3,0,0,0,T3,7,10,11,9,Clear,1,1098,0.6757995766256756,1320,184,87
2024-01-01 04:00:00,4,0,0,0,T3,12,16,11,16,Foggy,1,2576,0.366106775625201,3740,200,85
2024-01-01 05:00:00,5,0,0,0,T1,13,17,8,19,Clear,1,1962,0.5604308102007778,2235,200,60
2024-01-01 06:00:00,6,0,0,1,T3,23,27,16,8,Clear,1,5499,0.6043140194467589,6756,200,38
2024-01-01 07:00:00,7,0,0,1,T2,29,33,21,18,Clear,1,7733,0.39971689165954993,8866,200,29
2024-01-01 08:00:00,8,0,0,1,T2,25,32,18,14,Clear,1,5771,0.6584365199693972,6853,200,22
2024-01-01 09:00:00,9,0,0,1,T1,15,20,23,18,Clear,1,3582,0.3479461469334731,5374,200,32
2024-01-01 10:00:00,10,0,0,0,T1,10,17,8,11,Clear,1,1477,0.41145858569464455,2400,200,38
2024-01-01 11:00:00,11,0,0,0,T3,7,11,12,19,Clear,1,1365,0.48812025377841534,1624,200,52
2024-01-01 12:00:00,12,0,0,0,T3,10,10,8,19,Clear,1,1410,0.6762093057958416,2243,200,90
2024-01-01 13:00:00,13,0,0,0,T1,11,11,8,18,Clear,1,1696,0.5220803246397849,2007,200,85
2024-01-01 14:00:00,14,0,0,0,T2,6,10,13,19,Clear,1,1231,0.6403713795070051,1422,200,82
2024-01-01 15:00:00,15,0,0,0,T3,8,15,11,10,Clear,1,1490,0.6977829850443282,2029,200,51
2024-01-01 16:00:00,16,0,0,0,T1,8,10,13,12,Clear,1,1102,0.5359483390242175,1633,190,72
2024-01-01 17:00:00,17,0,0,1,T3,17,25,22,18,Clear,1,3779,0.5288016796836732,5041,200,26
2024-01-01 18:00:00,18,0,0,1,T3,15,31,19,13,Clear,1,2721,0.6404546686067427,3803,200,35
2024-01-01 19:00:00,19,0,0,1,T1,16,28,24,13,Clear,1,4292,0.5788062963981071,5220,200,31
2024-01-01 20:00:00,20,0,0,1,T2,21,32,24,14,Clear,1,5137,0.31104670874948187,5933,200,26
2024-01-01 21:00:00,21,0,0,0,T2,11,15,10,16,Clear,1,1898,0.5148329708786621,2748,200,41
2024-01-01 22:00:00,22,0,0,0,T1,12,14,11,19,Foggy,1,2336,0.5976170571996462,3200,200,85
2024-01-01 23:00:00,23,0,0,0,T1,14,14,13,14,Clear,1,1970,0.3731463988429229,3137,200,47
2024-01-02 00:00:00,0,1,0,0,T3,5,16,14,12,Clear,1,616,0.4966463500467329,979,108,17
2024-01-02 01:00:00,1,1,0,0,T2,5,14,14,17,Clear,1,1028,0.563477452647578,1200,96,21
2024-01-02 02:00:00,2,1,0,0,T1,12,16,9,8,Rainy,1,2535,0.6281707375085073,3219,200,52
2024-01-02 03:00:00,3,1,0,0,T2,6,12,9,10,Clear,1,1019,0.5771561434767758,1361,173,53
2024-01-02 04:00:00,4,1,0,0,T1,12,13,8,12,Foggy,1,2649,0.6468466428838888,3422,200,100
2024-01-02 05:00:00,5,1,0,0,T2,5,16,12,14,Rainy,1,896,0.4556806714936652,1032,174,47
2024-01-02 06:00:00,6,1,0,1,T1,23,22,23,14,Foggy,1,6649,0.6784778171526761,10017,200,35
2024-01-02 07:00:00,7,1,0,1,T3,21,32,19,17,Foggy,1,9272,0.5752120040700156,10412,200,45
